text,label
intended to extort,Extortion
threatened property damage in exchange for ransom,Extortion
extracted money through repeated threats of violence,Extortion
intimidating a person for the purpose of monetary gain,Extortion
forced someone to hand over property through threats,Extortion
grievous extortion,Extortion
demanded payment from victim in exchange for withholding incriminating photos,Extortion
pressured a victim to pay hush money,Extortion
unlawful demand of hush money,Extortion
arrested for having blackmailed someone for financial profit,Extortion
demanded payment from victim in exchange for withholding incriminating photos,Extortion
demanded payment from victim in exchange for withholding incriminating photos,Extortion
made menacing phone calls demanding cash,Extortion
illegal demand of hush money,Extortion
"aiding and abetting to commit a felony, extorting a shopkeeper",Extortion
extorting a victim,Extortion
threatened to release damaging information unless paid,Extortion
banned extortion,Extortion
forced someone to hand over property through threats,Extortion
accused of having blackmailed someone for financial profit,Extortion
improper extortion,Extortion
extorted local businesses for protection fees,Extortion
life-threatening extortion,Extortion
forced someone to hand over property through threats,Extortion
threatened public exposure of embarrassing details for monetary gain,Extortion
threatened public exposure of embarrassing details for financial profit,Extortion
major extortion,Extortion
threatened public exposure of embarrassing details for financial gain,Extortion
made menacing phone calls demanding cash,Extortion
demanded payment from victim in exchange for withholding incriminating photos,Extortion
coerced a individual into transferring funds under duress,Extortion
banned extortion,Extortion
pressured a manager to pay hush money,Extortion
aiding and abetting to extort,Extortion
attempted to extort a wealthy bystander,Extortion
extracted money from a employee through threats,Extortion
aggravated extortion,Extortion
life-threatening extortion,Extortion
demanded payment from employee in exchange for withholding incriminating photos,Extortion
attempted to extort a wealthy individual,Extortion
pressured a victim to pay hush money,Extortion
arrested for having blackmailed someone for financial gain,Extortion
charged with having blackmailed someone for financial gain,Extortion
under suspicion of using threats to obtain money,Extortion
extracted money through repeated threats of violence,Extortion
extracted money from a bystander through threats,Extortion
demanded payment from victim in exchange for withholding incriminating photos,Extortion
accused of extortion,Extortion
arrested for having blackmailed someone for financial profit,Extortion
attempted to extort a wealthy manager,Extortion
claimed physical harm would come if money was not paid,Extortion
attempted to extort a wealthy person,Extortion
attempted to extort a wealthy manager,Extortion
charged with having blackmailed someone for financial profit,Extortion
attempted to extort a wealthy shopkeeper,Extortion
charged with blackmail for monetary gain,Extortion
extorted local businesses for protection fees,Extortion
life-threatening extortion,Extortion
forced someone to hand over property through threats,Extortion
threatened public exposure of embarrassing details for profit,Extortion
intimidating a bystander for the purpose of monetary gain,Extortion
aggravated extortion,Extortion
extorting a person,Extortion
intimidating a manager for the purpose of financial gain,Extortion
aiding and abetting to extort,Extortion
claimed physical harm would come if money was not paid,Extortion
under suspicion of using threats to obtain financial gain,Extortion
forced someone to hand over property through threats,Extortion
"planned to commit a felony, extorting a employee",Extortion
accused of using threats to obtain profit,Extortion
made menacing phone calls demanding cash,Extortion
extorted local businesses for protection fees,Extortion
coerced a person into transferring funds under duress,Extortion
coerced a employee into transferring funds under duress,Extortion
intimidating a victim for the purpose of money,Extortion
intimidating a shopkeeper for the purpose of profit,Extortion
arrested for extortion,Extortion
intimidating a person for the purpose of monetary gain,Extortion
accused of using threats to obtain monetary gain,Extortion
claimed physical harm would come if money was not paid,Extortion
under suspicion of blackmail for economic benefit,Extortion
"conspiracy to commit a felony, extorting a shopkeeper",Extortion
demanded payment from individual in exchange for withholding incriminating photos,Extortion
improper demand of hush money,Extortion
under suspicion of having blackmailed someone for money,Extortion
intimidating a shopkeeper for the purpose of monetary gain,Extortion
demanded payment from victim in exchange for withholding incriminating photos,Extortion
improper extortion,Extortion
indicted for using threats to obtain profit,Extortion
demanded payment from employee in exchange for withholding incriminating photos,Extortion
intimidating a person for the purpose of monetary gain,Extortion
intended to extort,Extortion
threatened property damage in exchange for ransom,Extortion
threatened to release damaging information unless paid,Extortion
indicted for blackmail for monetary gain,Extortion
forced someone to hand over property through threats,Extortion
demanded payment from victim in exchange for withholding incriminating photos,Extortion
forced someone to hand over property through threats,Extortion
extracted money through repeated threats of violence,Extortion
unsatisfactory extortion,Extortion
charged with blackmail for money,Extortion
extracted money from a shopkeeper through threats,Extortion
serious extortion,Extortion
extracted money through repeated threats of violence,Extortion
accused of having blackmailed someone for financial profit,Extortion
made menacing phone calls demanding cash,Extortion
extorted local businesses for protection fees,Extortion
severe extortion,Extortion
made menacing phone calls demanding cash,Extortion
pressured a bystander to pay hush money,Extortion
prohibited demand of hush money,Extortion
extorted local businesses for protection fees,Extortion
charged with having blackmailed someone for profit,Extortion
under suspicion of blackmail for economic benefit,Extortion
charged with having blackmailed someone for money,Extortion
extorted local businesses for protection fees,Extortion
forced someone to hand over property through threats,Extortion
planned to extort,Extortion
claimed physical harm would come if money was not paid,Extortion
pressured a individual to pay hush money,Extortion
extracted money through repeated threats of violence,Extortion
forced someone to hand over property through threats,Extortion
made menacing phone calls demanding cash,Extortion
threatened property damage in exchange for ransom,Extortion
plotting to extort,Extortion
claimed physical harm would come if money was not paid,Extortion
claimed physical harm would come if money was not paid,Extortion
extracted money through repeated threats of violence,Extortion
extracted money through repeated threats of violence,Extortion
extorting a bystander,Extortion
unsatisfactory extortion,Extortion
made menacing phone calls demanding cash,Extortion
unsatisfactory demand of hush money,Extortion
banned extortion,Extortion
indicted for blackmail for economic benefit,Extortion
threatened public exposure of embarrassing details for profit,Extortion
threatened public exposure of embarrassing details for profit,Extortion
intimidating a employee for the purpose of profit,Extortion
charged with using threats to obtain monetary gain,Extortion
threatened public exposure of embarrassing details for financial gain,Extortion
threatened property damage in exchange for ransom,Extortion
extorting a manager,Extortion
threatened property damage in exchange for ransom,Extortion
extorting a bystander,Extortion
charged with extortion,Extortion
illegal extortion,Extortion
claimed physical harm would come if money was not paid,Extortion
extracted money from a employee through threats,Extortion
extorted local businesses for protection fees,Extortion
under suspicion of having blackmailed someone for economic benefit,Extortion
extorted local businesses for protection fees,Extortion
extracted money from a employee through threats,Extortion
extorted local businesses for protection fees,Extortion
solicitation to extort,Extortion
attempted to extort a wealthy employee,Extortion
charged with using threats to obtain financial profit,Extortion
intimidating a shopkeeper for the purpose of money,Extortion
extracted money from a manager through threats,Extortion
attempted to extort a wealthy employee,Extortion
made menacing phone calls demanding cash,Extortion
extorting a person,Extortion
under suspicion of using threats to obtain economic benefit,Extortion
intimidating a manager for the purpose of monetary gain,Extortion
claimed physical harm would come if money was not paid,Extortion
attempted to extort a wealthy manager,Extortion
serious extortion,Extortion
illegal extortion,Extortion
demanded payment from manager in exchange for withholding incriminating photos,Extortion
under suspicion of using threats to obtain financial profit,Extortion
extracted money through repeated threats of violence,Extortion
forced someone to hand over property through threats,Extortion
threatened property damage in exchange for ransom,Extortion
claimed physical harm would come if money was not paid,Extortion
unlawful extortion,Extortion
intimidating a bystander for the purpose of profit,Extortion
extorted local businesses for protection fees,Extortion
threatened to release damaging information unless paid,Extortion
intimidating a person for the purpose of financial gain,Extortion
made menacing phone calls demanding cash,Extortion
accused of using threats to obtain financial gain,Extortion
charged with having blackmailed someone for money,Extortion
charged with using threats to obtain financial profit,Extortion
claimed physical harm would come if money was not paid,Extortion
"solicitation to commit a felony, extorting a employee",Extortion
forced someone to hand over property through threats,Extortion
indicted for having blackmailed someone for financial profit,Extortion
extracted money through repeated threats of violence,Extortion
charged with having blackmailed someone for financial gain,Extortion
"accessory after the fact to commit a felony, extorting a victim",Extortion
extorted local businesses for protection fees,Extortion
threatened public exposure of embarrassing details for economic benefit,Extortion
extracted money through repeated threats of violence,Extortion
under suspicion of blackmail for profit,Extortion
arrested for using threats to obtain monetary gain,Extortion
charged with having blackmailed someone for monetary gain,Extortion
"conspiracy to commit a felony, extorting a shopkeeper",Extortion
threatened public exposure of embarrassing details for financial profit,Extortion
made menacing phone calls demanding cash,Extortion
threatened to release damaging information unless paid,Extortion
extorting a bystander,Extortion
indicted for using threats to obtain economic benefit,Extortion
"solicitation to commit a felony, extorting a employee",Extortion
extracted money from a individual through threats,Extortion
intended to extort,Extortion
extorted local businesses for protection fees,Extortion
coerced a bystander into transferring funds under duress,Extortion
claimed physical harm would come if money was not paid,Extortion
prohibited extortion,Extortion
extracted money through repeated threats of violence,Extortion
claimed physical harm would come if money was not paid,Extortion
claimed physical harm would come if money was not paid,Extortion
"accessory after the fact to commit a felony, extorting a bystander",Extortion
unsatisfactory extortion,Extortion
coerced a victim into transferring funds under duress,Extortion
made menacing phone calls demanding cash,Extortion
pressured a shopkeeper to pay hush money,Extortion
demanded payment from shopkeeper in exchange for withholding incriminating photos,Extortion
attempting to extort,Extortion
solicitation to extort,Extortion
claimed physical harm would come if money was not paid,Extortion
extorted local businesses for protection fees,Extortion
under suspicion of having blackmailed someone for financial profit,Extortion
"attempting to commit a felony, extorting a individual",Extortion
claimed physical harm would come if money was not paid,Extortion
extorted local businesses for protection fees,Extortion
threatened public exposure of embarrassing details for monetary gain,Extortion
extorted local businesses for protection fees,Extortion
demanded payment from shopkeeper in exchange for withholding incriminating photos,Extortion
made menacing phone calls demanding cash,Extortion
extorted local businesses for protection fees,Extortion
demanded payment from bystander in exchange for withholding incriminating photos,Extortion
unlawful extortion,Extortion
attempting to extort,Extortion
extorting a individual,Extortion
indicted for having blackmailed someone for economic benefit,Extortion
"intended to commit a felony, extorting a shopkeeper",Extortion
pressured a manager to pay hush money,Extortion
extracted money through repeated threats of violence,Extortion
extorting a individual,Extortion
threatened to release damaging information unless paid,Extortion
extracted money from a shopkeeper through threats,Extortion
claimed physical harm would come if money was not paid,Extortion
"accessory after the fact to commit a felony, extorting a bystander",Extortion
pressured a victim to pay hush money,Extortion
charged with extortion,Extortion
threatened property damage in exchange for ransom,Extortion
made menacing phone calls demanding cash,Extortion
accused of using threats to obtain profit,Extortion
wrongful extortion,Extortion
charged with blackmail for profit,Extortion
forced someone to hand over property through threats,Extortion
improper demand of hush money,Extortion
extracted money through repeated threats of violence,Extortion
major extortion,Extortion
attempted to extort a wealthy bystander,Extortion
wrongful extortion,Extortion
corporal extortion,Extortion
accused of blackmail for financial gain,Extortion
unlawful demand of hush money,Extortion
unsatisfactory demand of hush money,Extortion
accused of blackmail for economic benefit,Extortion
threatened property damage in exchange for ransom,Extortion
demanded payment from employee in exchange for withholding incriminating photos,Extortion
grievous extortion,Extortion
plotting to extort,Extortion
accessory after the fact to extort,Extortion
attempted to extort a wealthy victim,Extortion
coerced a employee into transferring funds under duress,Extortion
charged with blackmail for monetary gain,Extortion
coerced a bystander into transferring funds under duress,Extortion
forced someone to hand over property through threats,Extortion
threatened public exposure of embarrassing details for profit,Extortion
threatened property damage in exchange for ransom,Extortion
intimidating a person for the purpose of financial gain,Extortion
serious extortion,Extortion
wrongful extortion,Extortion
coerced a victim into transferring funds under duress,Extortion
threatened public exposure of embarrassing details for economic benefit,Extortion
arrested for using threats to obtain economic benefit,Extortion
under suspicion of extortion,Extortion
coerced a victim into transferring funds under duress,Extortion
indicted for having blackmailed someone for financial profit,Extortion
arrested for extortion,Extortion
coerced a person into transferring funds under duress,Extortion
threatened public exposure of embarrassing details for economic benefit,Extortion
indicted for using threats to obtain financial gain,Extortion
grievous extortion,Extortion
wrongful demand of hush money,Extortion
demanded payment from shopkeeper in exchange for withholding incriminating photos,Extortion
attempted to extort a wealthy victim,Extortion
improper demand of hush money,Extortion
threatened to release damaging information unless paid,Extortion
made menacing phone calls demanding cash,Extortion
grievous extortion,Extortion
wrongful extortion,Extortion
accused of using threats to obtain economic benefit,Extortion
extorted local businesses for protection fees,Extortion
threatened to release damaging information unless paid,Extortion
under suspicion of having blackmailed someone for money,Extortion
demanded payment from individual in exchange for withholding incriminating photos,Extortion
extracted money through repeated threats of violence,Extortion
extorting a shopkeeper,Extortion
arrested for blackmail for profit,Extortion
indicted for having blackmailed someone for financial profit,Extortion
intimidating a bystander for the purpose of financial gain,Extortion
"planned to commit a felony, extorting a individual",Extortion
accused of using threats to obtain profit,Extortion
demanded payment from individual in exchange for withholding incriminating photos,Extortion
illegal extortion,Extortion
made menacing phone calls demanding cash,Extortion
intimidating a individual for the purpose of economic benefit,Extortion
unsatisfactory extortion,Extortion
threatened property damage in exchange for ransom,Extortion
arrested for blackmail for money,Extortion
banned extortion,Extortion
arrested for extortion,Extortion
arrested for using threats to obtain financial gain,Extortion
extracted money through repeated threats of violence,Extortion
prohibited extortion,Extortion
"intended to commit a felony, extorting a shopkeeper",Extortion
extorted local businesses for protection fees,Extortion
under suspicion of using threats to obtain financial profit,Extortion
pressured a shopkeeper to pay hush money,Extortion
arrested for blackmail for money,Extortion
under suspicion of blackmail for financial gain,Extortion
threatened to release damaging information unless paid,Extortion
demanded payment from manager in exchange for withholding incriminating photos,Extortion
made menacing phone calls demanding cash,Extortion
attempted to extort a wealthy bystander,Extortion
claimed physical harm would come if money was not paid,Extortion
improper demand of hush money,Extortion
extracted money from a person through threats,Extortion
claimed physical harm would come if money was not paid,Extortion
plotting to extort,Extortion
extracted money through repeated threats of violence,Extortion
conspiracy to extort,Extortion
under suspicion of using threats to obtain financial profit,Extortion
improper demand of hush money,Extortion
attempted to extort a wealthy person,Extortion
charged with using threats to obtain economic benefit,Extortion
threatened property damage in exchange for ransom,Extortion
demanded payment from employee in exchange for withholding incriminating photos,Extortion
illegal demand of hush money,Extortion
claimed physical harm would come if money was not paid,Extortion
threatened property damage in exchange for ransom,Extortion
indicted for using threats to obtain economic benefit,Extortion
attempted to extort a wealthy shopkeeper,Extortion
claimed physical harm would come if money was not paid,Extortion
intimidating a individual for the purpose of economic benefit,Extortion
unsatisfactory extortion,Extortion
threatened property damage in exchange for ransom,Extortion
under suspicion of extortion,Extortion
intimidating a manager for the purpose of profit,Extortion
coerced a manager into transferring funds under duress,Extortion
threatened public exposure of embarrassing details for economic benefit,Extortion
extorting a victim,Extortion
illegal demand of hush money,Extortion
threatened public exposure of embarrassing details for monetary gain,Extortion
charged with extortion,Extortion
claimed physical harm would come if money was not paid,Extortion
accused of blackmail for money,Extortion
extorted local businesses for protection fees,Extortion
coerced a victim into transferring funds under duress,Extortion
threatened public exposure of embarrassing details for economic benefit,Extortion
threatened property damage in exchange for ransom,Extortion
coerced a manager into transferring funds under duress,Extortion
extorted local businesses for protection fees,Extortion
made menacing phone calls demanding cash,Extortion
forced someone to hand over property through threats,Extortion
aiding and abetting to extort,Extortion
threatened public exposure of embarrassing details for financial profit,Extortion
charged with having blackmailed someone for monetary gain,Extortion
indicted for using threats to obtain financial profit,Extortion
"solicitation to commit a felony, extorting a shopkeeper",Extortion
extorted local businesses for protection fees,Extortion
demanded payment from manager in exchange for withholding incriminating photos,Extortion
intended to extort,Extortion
intimidating a individual for the purpose of financial gain,Extortion
accused of having blackmailed someone for profit,Extortion
accused of blackmail for profit,Extortion
under suspicion of having blackmailed someone for profit,Extortion
extorted local businesses for protection fees,Extortion
accused of having blackmailed someone for monetary gain,Extortion
improper extortion,Extortion
extracted money from a bystander through threats,Extortion
threatened to release damaging information unless paid,Extortion
attempted to extort a wealthy bystander,Extortion
made menacing phone calls demanding cash,Extortion
charged with having blackmailed someone for economic benefit,Extortion
forced someone to hand over property through threats,Extortion
threatened public exposure of embarrassing details for financial gain,Extortion
threatened property damage in exchange for ransom,Extortion
forced someone to hand over property through threats,Extortion
demanded payment from manager in exchange for withholding incriminating photos,Extortion
threatened property damage in exchange for ransom,Extortion
extracted money from a bystander through threats,Extortion
forced someone to hand over property through threats,Extortion
aggravated extortion,Extortion
extracted money through repeated threats of violence,Extortion
extorting a shopkeeper,Extortion
intended to extort,Extortion
under suspicion of using threats to obtain profit,Extortion
forced someone to hand over property through threats,Extortion
accused of blackmail for money,Extortion
extorted local businesses for protection fees,Extortion
unlawful demand of hush money,Extortion
illegal demand of hush money,Extortion
indicted for extortion,Extortion
demanded payment from employee in exchange for withholding incriminating photos,Extortion
arrested for blackmail for financial profit,Extortion
extracted money through repeated threats of violence,Extortion
extorted local businesses for protection fees,Extortion
threatened public exposure of embarrassing details for monetary gain,Extortion
"conspiracy to commit a felony, extorting a person",Extortion
extracted money from a manager through threats,Extortion
extracted money from a victim through threats,Extortion
extorting a individual,Extortion
attempted to extort a wealthy manager,Extortion
under suspicion of blackmail for monetary gain,Extortion
accused of blackmail for profit,Extortion
extracted money through repeated threats of violence,Extortion
extracted money from a individual through threats,Extortion
threatened property damage in exchange for ransom,Extortion
coerced a employee into transferring funds under duress,Extortion
threatened public exposure of embarrassing details for money,Extortion
made menacing phone calls demanding cash,Extortion
extorted local businesses for protection fees,Extortion
extorted local businesses for protection fees,Extortion
claimed physical harm would come if money was not paid,Extortion
arrested for extortion,Extortion
major extortion,Extortion
demanded payment from shopkeeper in exchange for withholding incriminating photos,Extortion
extorted local businesses for protection fees,Extortion
demanded payment from employee in exchange for withholding incriminating photos,Extortion
under suspicion of having blackmailed someone for money,Extortion
extracted money through repeated threats of violence,Extortion
extorting a individual,Extortion
claimed physical harm would come if money was not paid,Extortion
accessory after the fact to extort,Extortion
pressured a individual to pay hush money,Extortion
charged with extortion,Extortion
serious extortion,Extortion
claimed physical harm would come if money was not paid,Extortion
under suspicion of using threats to obtain profit,Extortion
threatened public exposure of embarrassing details for financial profit,Extortion
threatened property damage in exchange for ransom,Extortion
"conspiracy to commit a felony, extorting a victim",Extortion
accused of extortion,Extortion
extracted money through repeated threats of violence,Extortion
made menacing phone calls demanding cash,Extortion
demanded payment from victim in exchange for withholding incriminating photos,Extortion
arrested for using threats to obtain monetary gain,Extortion
extorted local businesses for protection fees,Extortion
threatened to release damaging information unless paid,Extortion
illegal demand of hush money,Extortion
unlawful extortion,Extortion
wrongful extortion,Extortion
unlawful extortion,Extortion
extracted money from a employee through threats,Extortion
threatened to release damaging information unless paid,Extortion
claimed physical harm would come if money was not paid,Extortion
intimidating a individual for the purpose of monetary gain,Extortion
threatened to release damaging information unless paid,Extortion
plotting to extort,Extortion
illegal extortion,Extortion
under suspicion of extortion,Extortion
coerced a employee into transferring funds under duress,Extortion
"solicitation to commit a felony, extorting a bystander",Extortion
extorted local businesses for protection fees,Extortion
attempted to extort a wealthy shopkeeper,Extortion
made menacing phone calls demanding cash,Extortion
attempted to extort a wealthy shopkeeper,Extortion
"aiding and abetting to commit a felony, extorting a shopkeeper",Extortion
serious extortion,Extortion
unlawful demand of hush money,Extortion
threatened property damage in exchange for ransom,Extortion
"accessory after the fact to commit a felony, extorting a shopkeeper",Extortion
planned to extort,Extortion
threatened property damage in exchange for ransom,Extortion
banned demand of hush money,Extortion
extracted money from a person through threats,Extortion
pressured a shopkeeper to pay hush money,Extortion
under suspicion of having blackmailed someone for monetary gain,Extortion
under suspicion of extortion,Extortion
wrongful demand of hush money,Extortion
charged with extortion,Extortion
intimidating a person for the purpose of economic benefit,Extortion
"aiding and abetting to commit a felony, extorting a shopkeeper",Extortion
threatened property damage in exchange for ransom,Extortion
grievous extortion,Extortion
threatened to release damaging information unless paid,Extortion
threatened property damage in exchange for ransom,Extortion
coerced a person into transferring funds under duress,Extortion
extracted money from a bystander through threats,Extortion
attempted to extort a wealthy bystander,Extortion
claimed physical harm would come if money was not paid,Extortion
intimidating a victim for the purpose of economic benefit,Extortion
pressured a person to pay hush money,Extortion
unlawful extortion,Extortion
threatened to release damaging information unless paid,Extortion
illegal demand of hush money,Extortion
illegal extortion,Extortion
extorted local businesses for protection fees,Extortion
threatened to release damaging information unless paid,Extortion
indicted for using threats to obtain economic benefit,Extortion
severe extortion,Extortion
threatened property damage in exchange for ransom,Extortion
coerced a bystander into transferring funds under duress,Extortion
extorted local businesses for protection fees,Extortion
indicted for blackmail for financial gain,Extortion
attempted to extort a wealthy manager,Extortion
serious extortion,Extortion
extorted local businesses for protection fees,Extortion
pressured a person to pay hush money,Extortion
corporal extortion,Extortion
forced someone to hand over property through threats,Extortion
threatened property damage in exchange for ransom,Extortion
intimidating a individual for the purpose of profit,Extortion
forced someone to hand over property through threats,Extortion
coerced a victim into transferring funds under duress,Extortion
charged with extortion,Extortion
extorted local businesses for protection fees,Extortion
grievous extortion,Extortion
threatened to release damaging information unless paid,Extortion
claimed physical harm would come if money was not paid,Extortion
threatened to release damaging information unless paid,Extortion
coerced a manager into transferring funds under duress,Extortion
threatened to release damaging information unless paid,Extortion
indicted for having blackmailed someone for money,Extortion
indicted for using threats to obtain money,Extortion
pressured a employee to pay hush money,Extortion
extorting a individual,Extortion
extorting a shopkeeper,Extortion
threatened public exposure of embarrassing details for financial profit,Extortion
threatened to release damaging information unless paid,Extortion
forced someone to hand over property through threats,Extortion
threatened to release damaging information unless paid,Extortion
prohibited demand of hush money,Extortion
claimed physical harm would come if money was not paid,Extortion
extreme extortion,Extortion
serious extortion,Extortion
threatened to release damaging information unless paid,Extortion
indicted for blackmail for monetary gain,Extortion
coerced a manager into transferring funds under duress,Extortion
serious extortion,Extortion
forced someone to hand over property through threats,Extortion
coerced a manager into transferring funds under duress,Extortion
extorting a manager,Extortion
intended to extort,Extortion
threatened public exposure of embarrassing details for money,Extortion
"planned to commit a felony, extorting a person",Extortion
indicted for extortion,Extortion
under suspicion of having blackmailed someone for economic benefit,Extortion
threatened public exposure of embarrassing details for financial gain,Extortion
claimed physical harm would come if money was not paid,Extortion
demanded payment from victim in exchange for withholding incriminating photos,Extortion
extracted money from a employee through threats,Extortion
threatened property damage in exchange for ransom,Extortion
threatened property damage in exchange for ransom,Extortion
extreme extortion,Extortion
improper demand of hush money,Extortion
pressured a person to pay hush money,Extortion
under suspicion of extortion,Extortion
threatened property damage in exchange for ransom,Extortion
extorting a person,Extortion
threatened property damage in exchange for ransom,Extortion
extorted local businesses for protection fees,Extortion
threatened property damage in exchange for ransom,Extortion
unlawful extortion,Extortion
threatened public exposure of embarrassing details for economic benefit,Extortion
extracted money from a bystander through threats,Extortion
extorted local businesses for protection fees,Extortion
extracted money from a employee through threats,Extortion
attempted to extort a wealthy shopkeeper,Extortion
extorted local businesses for protection fees,Extortion
attempted to extort a wealthy individual,Extortion
arrested for extortion,Extortion
made menacing phone calls demanding cash,Extortion
pressured a person to pay hush money,Extortion
threatened property damage in exchange for ransom,Extortion
extorting a manager,Extortion
indicted for having blackmailed someone for financial profit,Extortion
accused of extortion,Extortion
coerced a employee into transferring funds under duress,Extortion
extorting a employee,Extortion
threatened to release damaging information unless paid,Extortion
extracted money through repeated threats of violence,Extortion
demanded payment from bystander in exchange for withholding incriminating photos,Extortion
demanded payment from person in exchange for withholding incriminating photos,Extortion
demanded payment from person in exchange for withholding incriminating photos,Extortion
attempted to extort a wealthy person,Extortion
claimed physical harm would come if money was not paid,Extortion
arrested for using threats to obtain economic benefit,Extortion
indicted for blackmail for monetary gain,Extortion
claimed physical harm would come if money was not paid,Extortion
threatened property damage in exchange for ransom,Extortion
claimed physical harm would come if money was not paid,Extortion
"attempting to commit a felony, extorting a individual",Extortion
threatened to release damaging information unless paid,Extortion
demanded payment from individual in exchange for withholding incriminating photos,Extortion
serious extortion,Extortion
extracted money through repeated threats of violence,Extortion
threatened to release damaging information unless paid,Extortion
claimed physical harm would come if money was not paid,Extortion
extracted money from a employee through threats,Extortion
improper extortion,Extortion
forced someone to hand over property through threats,Extortion
coerced a person into transferring funds under duress,Extortion
extracted money through repeated threats of violence,Extortion
threatened to release damaging information unless paid,Extortion
claimed physical harm would come if money was not paid,Extortion
threatened property damage in exchange for ransom,Extortion
coerced a bystander into transferring funds under duress,Extortion
coerced a victim into transferring funds under duress,Extortion
extracted money from a employee through threats,Extortion
intended to extort,Extortion
illegal demand of hush money,Extortion
severe extortion,Extortion
forced someone to hand over property through threats,Extortion
serious extortion,Extortion
threatened to release damaging information unless paid,Extortion
"plotting to commit a felony, extorting a bystander",Extortion
attempted to extort a wealthy person,Extortion
extorted local businesses for protection fees,Extortion
demanded payment from individual in exchange for withholding incriminating photos,Extortion
threatened public exposure of embarrassing details for financial profit,Extortion
threatened to release damaging information unless paid,Extortion
forced someone to hand over property through threats,Extortion
extracted money through repeated threats of violence,Extortion
coerced a person into transferring funds under duress,Extortion
grievous extortion,Extortion
attempted to extort a wealthy person,Extortion
extreme extortion,Extortion
threatened property damage in exchange for ransom,Extortion
prohibited demand of hush money,Extortion
arrested for blackmail for monetary gain,Extortion
attempted to extort a wealthy victim,Extortion
extracted money from a bystander through threats,Extortion
"attempting to commit a felony, extorting a victim",Extortion
grievous extortion,Extortion
intimidating a individual for the purpose of profit,Extortion
prohibited extortion,Extortion
claimed physical harm would come if money was not paid,Extortion
attempted to extort a wealthy manager,Extortion
forced someone to hand over property through threats,Extortion
attempted to extort a wealthy individual,Extortion
under suspicion of blackmail for monetary gain,Extortion
extorted local businesses for protection fees,Extortion
major extortion,Extortion
pressured a individual to pay hush money,Extortion
attempted to extort a wealthy employee,Extortion
made menacing phone calls demanding cash,Extortion
intimidating a shopkeeper for the purpose of financial profit,Extortion
illegal extortion,Extortion
under suspicion of using threats to obtain economic benefit,Extortion
forced someone to hand over property through threats,Extortion
pressured a manager to pay hush money,Extortion
extracted money through repeated threats of violence,Extortion
arrested for blackmail for financial profit,Extortion
demanded payment from bystander in exchange for withholding incriminating photos,Extortion
coerced a manager into transferring funds under duress,Extortion
made menacing phone calls demanding cash,Extortion
under suspicion of blackmail for money,Extortion
charged with blackmail for financial gain,Extortion
demanded payment from person in exchange for withholding incriminating photos,Extortion
attempted to extort a wealthy employee,Extortion
extracted money from a shopkeeper through threats,Extortion
under suspicion of blackmail for monetary gain,Extortion
threatened public exposure of embarrassing details for profit,Extortion
threatened public exposure of embarrassing details for monetary gain,Extortion
unsatisfactory extortion,Extortion
attempting to extort,Extortion
illegal extortion,Extortion
under suspicion of extortion,Extortion
attempted to extort a wealthy individual,Extortion
demanded payment from manager in exchange for withholding incriminating photos,Extortion
made menacing phone calls demanding cash,Extortion
coerced a individual into transferring funds under duress,Extortion
unlawful extortion,Extortion
attempted to extort a wealthy employee,Extortion
corporal extortion,Extortion
arrested for using threats to obtain financial profit,Extortion
threatened property damage in exchange for ransom,Extortion
threatened property damage in exchange for ransom,Extortion
demanded payment from employee in exchange for withholding incriminating photos,Extortion
coerced a bystander into transferring funds under duress,Extortion
coerced a shopkeeper into transferring funds under duress,Extortion
attempted to extort a wealthy person,Extortion
serious extortion,Extortion
threatened public exposure of embarrassing details for monetary gain,Extortion
coerced a person into transferring funds under duress,Extortion
accused of using threats to obtain financial gain,Extortion
threatened public exposure of embarrassing details for monetary gain,Extortion
threatened property damage in exchange for ransom,Extortion
threatened property damage in exchange for ransom,Extortion
demanded payment from individual in exchange for withholding incriminating photos,Extortion
arrested for having blackmailed someone for financial profit,Extortion
claimed physical harm would come if money was not paid,Extortion
demanded payment from bystander in exchange for withholding incriminating photos,Extortion
"planned to commit a felony, extorting a person",Extortion
demanded payment from shopkeeper in exchange for withholding incriminating photos,Extortion
"accessory after the fact to commit a felony, extorting a individual",Extortion
arrested for extortion,Extortion
attempted to extort a wealthy person,Extortion
banned demand of hush money,Extortion
extracted money from a individual through threats,Extortion
claimed physical harm would come if money was not paid,Extortion
charged with blackmail for money,Extortion
conspiracy to extort,Extortion
indicted for blackmail for financial gain,Extortion
intimidating a person for the purpose of monetary gain,Extortion
charged with using threats to obtain monetary gain,Extortion
indicted for having blackmailed someone for money,Extortion
threatened property damage in exchange for ransom,Extortion
extorted local businesses for protection fees,Extortion
indicted for blackmail for financial profit,Extortion
forced someone to hand over property through threats,Extortion
extracted money through repeated threats of violence,Extortion
under suspicion of having blackmailed someone for economic benefit,Extortion
illegal extortion,Extortion
coerced a employee into transferring funds under duress,Extortion
under suspicion of blackmail for money,Extortion
improper extortion,Extortion
attempted to extort a wealthy individual,Extortion
unlawful demand of hush money,Extortion
pressured a victim to pay hush money,Extortion
forced someone to hand over property through threats,Extortion
charged with having blackmailed someone for monetary gain,Extortion
"accessory after the fact to commit a felony, extorting a person",Extortion
unsatisfactory extortion,Extortion
indicted for blackmail for financial profit,Extortion
extracted money from a manager through threats,Extortion
extorting a manager,Extortion
